Onboarding Step,Status*,Step Reason,Who Gets Notified,
Ready for Services,Pending Discharge,Changing Providers,Scheduler (region),
Ready for Services,Pending Discharge,Clinical Discharge,Scheduler (region),
Ready for Services,Pending Discharge,Graduation,Scheduler (region),
Ready for Services,Pending Discharge,Loss of Insurance,Scheduler (region),
Ready for Services,Pending Discharge,Onboarding Discharge,Scheduler (region),
Ready for Services,Pending Discharge,Payor Discharge,Scheduler (region),
Ready for Services,Pending Discharge,Relocated out of service area,Scheduler (region),
Ready for Services,Pending Discharge,Voluntary/Parent Choice,Scheduler (region),
Ready for Services,Onboarding Disruption,BCBA General Capacity,Scheduler (region),
Ready for Services,Onboarding Disruption,BCBA In-Person Required,Scheduler (region),
Ready for Services,Onboarding Disruption,Pending Clinic Opening,Scheduler (region),
Ready for Services,Onboarding Disruption,Background Check Issue,Scheduler (region),
Ready for Services,Onboarding Disruption,E-Verify Issue,Scheduler (region),
Ready for Services,Onboarding Disruption,Waiting on Background,Scheduler (region),
Ready for Services,Onboarding Disruption,Waiting on Certification,Scheduler (region),
Ready for Services,Onboarding Disruption,Waiting on Documentation,Scheduler (region),
Ready for Services,Onboarding Disruption,BCBA Credentialing,Scheduler (region),
Ready for Services,Onboarding Disruption,BCBA Evening Capacity,Scheduler (region),
Ready for Services,Onboarding Disruption,Spanish-Speaking BCBA Req’d,Scheduler (region),
Ready for Services,Onboarding Disruption,Clinic Capacity,Scheduler (region),
Ready for Services,Onboarding Disruption,Family Requested Pause,Scheduler (region),
Ready for Services,Onboarding Disruption,Clinical Hold,Scheduler (region),
Ready for Services,Onboarding Disruption,In Funder Hold,Scheduler (region),
Ready for Services,Onboarding Disruption,Pending Technician,Scheduler (region),
Ready for Services,Case Kickoff,Pending Tech Assignment,Scheduler (region),
Ready for Services,Case Kickoff,Pending Tech Readiness,Scheduler (region),
Ready for Services,Technician Ready,Pending BCBA Confirmation,Scheduler (region),
Ready for Services,Technician Ready,Pending Family Confirmation,Scheduler (region),
Ready for Services,Technician Ready,Pending School Coordination,Scheduler (region),
Ready for Services,Technician Ready,Pending Tech Confirmation,Scheduler (region),
Ready for Services,Pending First Service,,Scheduler (region),OM (site)
Services Active,Direct Care,,OM (site),
Services Active,Direct Care at Risk,Code Red,OM (site),
Services Active,Direct Care at Risk,Employee Based Risk,OM (site),
Services Active,Direct Care at Risk,Family Based Risk,OM (site),
Services Active,Direct Care at Risk,Needs Clinical Review Re-Utilization,OM (site),
Services Active,Direct Care at Risk,New Client or Tech,OM (site),
Services Active,Direct Care at Risk,Other Risk,OM (site),
Services Active,Pending Discharge,Attendance,OM (site),
Services Active,Pending Discharge,Changing Providers,OM (site),
Services Active,Pending Discharge,Clinical Discharge,OM (site),
Services Active,Pending Discharge,Graduation,OM (site),
Services Active,Pending Discharge,Loss of Insurance,OM (site),
Services Active,Pending Discharge,Onboarding Discharge,OM (site),
Services Active,Pending Discharge,Payor Discharge,OM (site),
Services Active,Pending Discharge,Relocated out of service area,OM (site),
Services Active,Pending Discharge,Voluntary/Parent Choice,OM (site),
Services Active,Transfer,Transfer Approved,OM (site),
Services Active,Transfer,Transfer Pending BCBA,OM (site),
Services Active,Transfer,Transfer Pending Clinic Capacity,OM (site),
Services Active,Transfer,Transfer Pending Tech Readiness,OM (site),
Services Active,Transfer,Transfer Requested,OM (site),
Services Disrupted,Pending Discharge,Attendance,OM (site),
Services Disrupted,Pending Discharge,Changing Providers,OM (site),
Services Disrupted,Pending Discharge,Clinical Discharge,OM (site),
Services Disrupted,Pending Discharge,Graduation,OM (site),
Services Disrupted,Pending Discharge,Loss of Insurance,OM (site),
Services Disrupted,Pending Discharge,Onboarding Discharge,OM (site),
Services Disrupted,Pending Discharge,Payor Discharge,OM (site),
Services Disrupted,Pending Discharge,Relocated out of service area,OM (site),
Services Disrupted,Pending Discharge,Voluntary/Parent Choice,OM (site),
Services Disrupted,Transfer,Transfer Approved,OM (site),
Services Disrupted,Transfer,Transfer Pending BCBA,OM (site),
Services Disrupted,Transfer,Transfer Pending Clinic Capacity,OM (site),
Services Disrupted,Transfer,Transfer Pending Tech Readiness,OM (site),
Services Disrupted,Transfer,Transfer Requested,OM (site),
Services Disrupted,Staffing,BCBA General Capacity,OM (site),
Services Disrupted,Staffing,BCBA In-Person Required,OM (site),
Services Disrupted,Staffing,BCBA Credentialing,OM (site),
Services Disrupted,Staffing,BCBA Evening Capacity,OM (site),
Services Disrupted,Staffing,Pending Tech Assignment,OM (site),
Services Disrupted,Staffing,Pending Tech Readiness,OM (site),
Services Disrupted,Staffing,Spanish-Speaking BCBA Req’d,OM (site),
Services Disrupted,Coverage/Funding,Clinical Denial,OM (site),
Services Disrupted,Coverage/Funding,Coverage Denial,OM (site),
Services Disrupted,Coverage/Funding,Expired Authorization,OM (site),
Services Disrupted,Coverage/Funding,Loss/change in insurance,OM (site),
Services Disrupted,Coverage/Funding,Missing required payor documentation,OM (site),
